user_id,type,event,key,x,y,time
friend01,key,release,Key.enter,,,0.1731
friend01,key,press,j,,,0.8561
friend01,key,press,h,,,0.9207
friend01,key,press,v,,,1.1484
friend01,key,release,j,,,1.1975
friend01,key,release,v,,,1.2016
friend01,key,release,h,,,1.2219
friend01,key,press,f,,,1.309
friend01,key,press,r,,,1.3206
friend01,key,press,a,,,1.4774
friend01,key,release,r,,,1.5095
friend01,key,press,r,,,1.5309
friend01,key,release,f,,,1.5374
friend01,key,press,f,,,1.6218
friend01,key,release,a,,,1.6324
friend01,key,press,k,,,1.7022
friend01,key,press,j,,,1.7101
friend01,key,release,r,,,1.7377
friend01,key,release,f,,,1.8081
friend01,key,press,u,,,1.8159
friend01,key,release,k,,,1.8364
friend01,key,press,h,,,1.8493
friend01,key,release,j,,,1.9006
friend01,key,release,u,,,1.9112
friend01,key,release,h,,,2.056
friend01,key,press,w,,,2.0818
friend01,key,release,w,,,2.2521
friend01,key,press,k,,,2.2841
friend01,key,press,l,,,2.2841
friend01,key,release,l,,,2.3666
friend01,key,release,k,,,2.4111
friend01,key,press,k,,,2.5224
friend01,key,press,j,,,2.5395
friend01,key,press,d,,,2.5657
friend01,key,release,j,,,2.6024
friend01,key,press,j,,,2.6342
friend01,key,release,d,,,2.7573
friend01,key,release,k,,,2.7651
friend01,key,release,j,,,2.8184
friend01,key,press,w,,,2.859
friend01,key,press,e,,,2.9177
friend01,key,press,i,,,2.942
friend01,key,press,u,,,3.0067
friend01,key,release,w,,,3.0547
friend01,key,release,e,,,3.1187
friend01,key,press,h,,,3.1489
friend01,key,release,i,,,3.1489
friend01,key,release,u,,,3.2296
friend01,key,release,h,,,3.3408
friend01,key,press,k,,,3.3888
friend01,key,press,j,,,3.4046
friend01,key,release,k,,,3.5164
friend01,key,release,j,,,3.5367
friend01,key,press,d,,,3.6454
friend01,key,press,s,,,3.6527
friend01,key,release,s,,,3.9239
friend01,key,press,c,,,3.9407
friend01,key,release,d,,,3.9886
friend01,key,press,k,,,4.0256
friend01,key,release,c,,,4.1032
friend01,key,press,h,,,4.3057
friend01,key,release,k,,,4.3841
friend01,key,release,h,,,4.5459
friend01,key,press,k,,,4.787
friend01,key,press,j,,,4.803
friend01,key,release,j,,,4.9076
friend01,key,release,k,,,4.9076
friend01,key,press,k,,,5.1621
friend01,key,release,k,,,5.2973
friend01,key,press,j,,,14.1074
friend01,key,press,h,,,14.2615
friend01,key,press,b,,,14.2615
friend01,key,press,d,,,14.3624
friend01,key,release,j,,,14.3727
friend01,key,release,h,,,14.394
friend01,key,release,b,,,14.4525
friend01,key,press,f,,,14.5528
friend01,key,press,v,,,14.5694
friend01,key,release,d,,,14.5795
friend01,key,release,v,,,14.6274
friend01,key,press,w,,,14.6452
friend01,key,press,e,,,14.6599
friend01,key,press,l,,,14.7083
friend01,key,release,f,,,14.7218
friend01,key,press,k,,,14.7567
friend01,key,press,j,,,14.8175
friend01,key,press,h,,,14.8815
friend01,key,press,u,,,14.8815
friend01,key,release,l,,,14.8977
friend01,key,release,w,,,14.8977
friend01,key,release,k,,,14.9161
friend01,key,release,e,,,14.9187
friend01,key,release,j,,,14.9498
friend01,key,release,u,,,14.9692
friend01,key,press,w,,,14.9949
friend01,key,press,e,,,15.0031
friend01,key,release,h,,,15.0849
friend01,key,press,k,,,15.1626
friend01,key,press,j,,,15.1681
friend01,key,release,w,,,15.1971
friend01,key,release,e,,,15.2466
friend01,key,release,k,,,15.2706
friend01,key,release,j,,,15.2892
friend01,key,press,<97>,,,15.6043
friend01,key,press,<102>,,,15.7181
friend01,key,press,<101>,,,15.8291
friend01,key,release,<97>,,,15.8347
friend01,key,press,<97>,,,15.9282
friend01,key,release,<102>,,,15.9592
friend01,key,release,<101>,,,16.0365
friend01,key,press,<102>,,,16.1114
friend01,key,release,<97>,,,16.1919
friend01,key,press,<104>,,,16.2268
friend01,key,release,<102>,,,16.3426
friend01,key,press,<97>,,,16.3833
friend01,key,release,<104>,,,16.4315
friend01,key,release,<97>,,,16.4877
friend01,key,press,<102>,,,16.5189
friend01,key,press,<104>,,,16.5447
friend01,key,release,<102>,,,16.6949
friend01,key,release,<104>,,,16.7374
friend01,key,press,j,,,17.036
friend01,key,press,h,,,17.0457
friend01,key,press,b,,,17.1996
friend01,key,release,j,,,17.2643
friend01,key,press,f,,,17.3122
friend01,key,release,h,,,17.3167
friend01,key,press,w,,,17.3757
friend01,key,press,k,,,17.4461
friend01,key,release,b,,,17.4539
friend01,key,press,u,,,17.4576
friend01,key,release,f,,,17.4919
friend01,key,release,w,,,17.5748
friend01,key,release,u,,,17.5845
friend01,key,release,k,,,17.5887
friend01,key,press,6,,,17.8853
friend01,key,release,6,,,17.9818
friend01,key,press,6,,,18.0739
friend01,key,release,6,,,18.1737
friend01,key,press,6,,,18.6296
friend01,key,release,6,,,18.7195
friend01,key,press,h,,,19.4364
friend01,key,release,h,,,19.526
friend01,key,press,e,,,19.6274
friend01,key,release,e,,,19.7076
friend01,key,press,l,,,19.9173
friend01,key,release,l,,,20.0271
friend01,key,press,l,,,20.0808
friend01,key,release,l,,,20.1888
friend01,key,press,o,,,20.2358
friend01,key,release,o,,,20.346
friend01,key,press,Key.space,,,20.4235
friend01,key,release,Key.space,,,20.5545
friend01,key,press,i,,,20.6274
friend01,key,release,i,,,20.7313
friend01,key,press,Key.space,,,20.8053
friend01,key,release,Key.space,,,20.9235
friend01,key,press,a,,,20.9865
friend01,key,press,m,,,21.0969
friend01,key,release,a,,,21.1228
friend01,key,release,m,,,21.2228
friend01,key,press,Key.space,,,21.2543
friend01,key,press,p,,,21.3792
friend01,key,release,Key.space,,,21.3954
friend01,key,release,p,,,21.4822
friend01,key,press,a,,,21.4912
friend01,key,release,a,,,21.6541
friend01,key,press,t,,,21.6711
friend01,key,release,t,,,21.7868
friend01,key,press,r,,,21.8382
friend01,key,release,r,,,21.971
friend01,key,press,i,,,21.971
friend01,key,release,i,,,22.0808
friend01,key,press,c,,,22.158
friend01,key,release,c,,,22.283
friend01,key,press,k,,,22.3169
friend01,key,release,k,,,22.4599
friend01,key,press,.,,,22.7478
friend01,key,release,.,,,22.8755
friend01,key,press,.,,,22.9404
friend01,key,release,.,,,23.0525
friend01,key,press,.,,,23.1007
friend01,key,release,.,,,23.2297
friend01,key,press,j,,,35.5657
friend01,key,press,h,,,35.6407
friend01,key,press,b,,,35.7366
friend01,key,release,j,,,35.831
friend01,key,release,h,,,35.8449
friend01,key,release,b,,,35.8946
friend01,key,press,f,,,36.1659
friend01,key,release,f,,,36.3832
friend01,key,press,i,,,36.4014
friend01,key,press,a,,,36.4193
friend01,key,press,u,,,36.4797
friend01,key,press,f,,,36.562
friend01,key,press,h,,,36.6123
friend01,key,release,a,,,36.6229
friend01,key,press,b,,,36.6522
friend01,key,release,i,,,36.6562
friend01,key,release,u,,,36.7109
friend01,key,release,h,,,36.737
friend01,key,press,a,,,36.7857
friend01,key,press,k,,,36.8152
friend01,key,release,f,,,36.8205
friend01,key,press,j,,,36.8248
friend01,key,press,s,,,36.8794
friend01,key,release,b,,,36.8906
friend01,key,press,f,,,36.9334
friend01,key,release,a,,,36.9593
friend01,key,release,s,,,37.0066
friend01,key,release,k,,,37.0182
friend01,key,release,j,,,37.0874
friend01,key,press,h,,,37.0936
friend01,key,release,f,,,37.099
friend01,key,release,h,,,37.1918
friend01,key,press,Key.enter,,,37.445
friend01,key,release,Key.enter,,,37.5447
friend01,key,press,Key.esc,,,38.0638
friend01,key,release,Key.esc,,,38.1852
friend01,mouse,move,,1083,1106,7.0819
friend01,mouse,move,,1046,1117,7.0886
friend01,mouse,move,,1008,1128,7.0951
friend01,mouse,move,,975,1136,7.1026
friend01,mouse,move,,942,1144,7.1066
friend01,mouse,move,,913,1150,7.1139
friend01,mouse,move,,887,1156,7.1232
friend01,mouse,move,,867,1157,7.13
friend01,mouse,move,,849,1159,7.1374
friend01,mouse,move,,834,1159,7.1457
friend01,mouse,move,,821,1158,7.1512
friend01,mouse,move,,810,1155,7.1579
friend01,mouse,move,,802,1153,7.1631
friend01,mouse,move,,796,1150,7.1705
friend01,mouse,move,,793,1148,7.1771
friend01,mouse,move,,792,1148,7.1849
friend01,mouse,move,,790,1147,7.1871
friend01,mouse,move,,789,1147,7.1871
friend01,mouse,move,,789,1146,7.2059
friend01,mouse,move,,789,1145,7.2084
friend01,mouse,move,,789,1143,7.2183
friend01,mouse,move,,790,1140,7.2223
friend01,mouse,move,,794,1134,7.2324
friend01,mouse,move,,803,1122,7.239
friend01,mouse,move,,820,1103,7.2427
friend01,mouse,move,,849,1075,7.254
friend01,mouse,move,,884,1044,7.2571
friend01,mouse,move,,918,1019,7.2674
friend01,mouse,move,,951,999,7.2721
friend01,mouse,move,,984,982,7.2721
friend01,mouse,move,,1009,968,7.2872
friend01,mouse,move,,1029,960,7.2872
friend01,mouse,move,,1046,952,7.2992
friend01,mouse,move,,1060,948,7.3073
friend01,mouse,move,,1073,945,7.316
friend01,mouse,move,,1080,944,7.3217
friend01,mouse,move,,1086,944,7.3289
friend01,mouse,move,,1088,943,7.3366
friend01,mouse,move,,1090,943,7.3433
friend01,mouse,move,,1091,943,7.3499
friend01,mouse,move,,1091,943,7.3565
friend01,mouse,move,,1091,943,7.3762
friend01,mouse,move,,1087,943,7.3762
friend01,mouse,move,,1077,943,7.386
friend01,mouse,move,,1054,943,7.3931
friend01,mouse,move,,1009,943,7.4041
friend01,mouse,move,,959,940,7.4096
friend01,mouse,move,,908,930,7.4185
friend01,mouse,move,,860,918,7.425
friend01,mouse,move,,811,901,7.4276
friend01,mouse,move,,765,884,7.4366
friend01,mouse,move,,718,862,7.4435
friend01,mouse,move,,676,843,7.4533
friend01,mouse,move,,636,822,7.4567
friend01,mouse,move,,600,804,7.4668
friend01,mouse,move,,571,787,7.4692
friend01,mouse,move,,550,776,7.4798
friend01,mouse,move,,536,766,7.4871
friend01,mouse,move,,524,758,7.4871
friend01,mouse,move,,517,752,7.4988
friend01,mouse,move,,512,747,7.5031
friend01,mouse,move,,509,743,7.5135
friend01,mouse,move,,507,741,7.5189
friend01,mouse,move,,506,740,7.5274
friend01,mouse,move,,506,740,7.5348
friend01,mouse,move,,518,703,7.7866
friend01,mouse,move,,541,645,7.7866
friend01,mouse,move,,564,599,7.8029
friend01,mouse,move,,587,558,7.8049
friend01,mouse,move,,607,525,7.8164
friend01,mouse,move,,625,499,7.8194
friend01,mouse,move,,640,476,7.828
friend01,mouse,move,,651,463,7.8358
friend01,mouse,move,,658,452,7.845
friend01,mouse,move,,664,446,7.8518
friend01,mouse,move,,669,441,7.8582
friend01,mouse,move,,671,438,7.8654
friend01,mouse,move,,673,435,7.869
friend01,mouse,move,,675,434,7.869
friend01,mouse,move,,676,432,7.886
friend01,mouse,move,,676,431,7.886
friend01,mouse,move,,677,430,7.8963
friend01,mouse,move,,678,430,7.9036
friend01,mouse,move,,678,429,7.9123
friend01,mouse,move,,678,428,7.9188
friend01,mouse,move,,679,427,7.9188
