user_id,type,event,key,x,y,time
friend01,key,release,Key.enter,,,0.2054
friend01,key,press,k,,,0.7503
friend01,key,press,j,,,0.7782
friend01,key,press,h,,,1.0209
friend01,key,press,w,,,1.0318
friend01,key,press,e,,,1.0403
friend01,key,release,k,,,1.0533
friend01,key,release,j,,,1.1009
friend01,key,release,h,,,1.1029
friend01,key,press,f,,,1.1089
friend01,key,release,w,,,1.1263
friend01,key,release,e,,,1.1957
friend01,key,release,f,,,1.2618
friend01,key,press,k,,,1.5022
friend01,key,press,j,,,1.5976
friend01,key,press,h,,,1.8292
friend01,key,release,j,,,1.8597
friend01,key,press,d,,,1.8793
friend01,key,release,k,,,1.8835
friend01,key,release,h,,,1.8932
friend01,key,press,q,,,2.0358
friend01,key,release,d,,,2.1225
friend01,key,press,i,,,2.1271
friend01,key,press,e,,,2.229
friend01,key,press,u,,,2.229
friend01,key,release,q,,,2.2608
friend01,key,press,h,,,2.2938
friend01,key,release,i,,,2.3021
friend01,key,press,c,,,2.3222
friend01,key,release,e,,,2.3306
friend01,key,release,u,,,2.4112
friend01,key,press,q,,,2.443
friend01,key,release,c,,,2.448
friend01,key,press,e,,,2.4841
friend01,key,release,h,,,2.4857
friend01,key,release,q,,,2.5128
friend01,key,press,c,,,2.5323
friend01,key,release,e,,,2.6041
friend01,key,release,c,,,2.7471
friend01,key,press,d,,,2.8435
friend01,key,press,c,,,2.8596
friend01,key,press,j,,,2.9556
friend01,key,release,d,,,3.0031
friend01,key,press,h,,,3.083
friend01,key,press,x,,,3.083
friend01,key,press,s,,,3.1627
friend01,key,press,b,,,3.1728
friend01,key,release,c,,,3.1832
friend01,key,press,c,,,3.2115
friend01,key,release,j,,,3.2193
friend01,key,release,h,,,3.2429
friend01,key,release,s,,,3.2478
friend01,key,release,x,,,3.2834
friend01,key,press,d,,,3.4045
friend01,key,press,s,,,3.4277
friend01,key,press,j,,,3.4423
friend01,key,press,k,,,3.4506
friend01,key,release,c,,,3.4665
friend01,key,release,b,,,3.5313
friend01,key,release,s,,,3.6284
friend01,key,press,c,,,3.6368
friend01,key,release,d,,,3.6756
friend01,key,press,b,,,3.7139
friend01,key,release,j,,,3.7216
friend01,key,release,k,,,3.7253
friend01,key,release,c,,,3.7807
friend01,key,release,b,,,3.8793
friend01,key,press,i,,,3.9876
friend01,key,press,u,,,3.9977
friend01,key,release,i,,,4.1376
friend01,key,release,u,,,4.1402
friend01,key,press,i,,,4.2462
friend01,key,press,u,,,4.2519
friend01,key,release,u,,,4.3582
friend01,key,release,i,,,4.3958
friend01,key,press,d,,,5.8705
friend01,key,press,c,,,6.0504
friend01,key,release,d,,,6.1801
friend01,key,press,d,,,6.2034
friend01,key,press,s,,,6.2783
friend01,key,release,c,,,6.3094
friend01,key,release,d,,,6.3896
friend01,key,release,s,,,6.393
friend01,key,press,w,,,16.1863
friend01,key,press,e,,,16.2005
friend01,key,press,f,,,16.2507
friend01,key,press,j,,,16.3769
friend01,key,release,w,,,16.3928
friend01,key,release,e,,,16.3928
friend01,key,press,h,,,16.4572
friend01,key,release,f,,,16.4897
friend01,key,press,b,,,16.5211
friend01,key,release,j,,,16.6338
friend01,key,release,h,,,16.665
friend01,key,release,b,,,16.7027
friend01,key,press,2,,,17.0281
friend01,key,press,3,,,17.1097
friend01,key,press,9,,,17.2015
friend01,key,press,8,,,17.2176
friend01,key,release,2,,,17.2346
friend01,key,release,3,,,17.2682
friend01,key,release,9,,,17.3538
friend01,key,release,8,,,17.4296
friend01,key,press,h,,,17.4908
friend01,key,release,h,,,17.6183
friend01,key,press,e,,,17.6899
friend01,key,release,e,,,17.801
friend01,key,press,l,,,17.9269
friend01,key,release,l,,,18.0203
friend01,key,press,l,,,18.0709
friend01,key,release,l,,,18.1754
friend01,key,press,o,,,18.2445
friend01,key,release,o,,,18.3402
friend01,key,press,Key.space,,,18.4325
friend01,key,release,Key.space,,,18.566
friend01,key,press,i,,,19.0609
friend01,key,release,i,,,19.1566
friend01,key,press,Key.space,,,19.2528
friend01,key,release,Key.space,,,19.4118
friend01,key,press,a,,,19.4287
friend01,key,release,a,,,19.601
