user_id,type,event,key,x,y,time
patrick01,key,release,Key.enter,,,0.1221
patrick01,key,press,h,,,10.6375
patrick01,key,release,h,,,10.846
patrick01,key,press,h,,,12.2259
patrick01,key,release,h,,,12.3217
patrick01,key,press,e,,,12.3695
patrick01,key,release,e,,,12.497
patrick01,key,press,l,,,12.7143
patrick01,key,release,l,,,12.8097
patrick01,key,press,l,,,12.8731
patrick01,key,release,l,,,12.9848
patrick01,key,press,o,,,13.1608
patrick01,key,release,o,,,13.2741
patrick01,key,press,Key.space,,,13.4099
patrick01,key,release,Key.space,,,13.554
patrick01,key,press,i,,,13.7041
patrick01,key,release,i,,,13.8107
patrick01,key,press,Key.space,,,13.9353
patrick01,key,release,Key.space,,,14.0788
patrick01,key,press,m,,,14.368
patrick01,key,release,m,,,14.4879
patrick01,key,press,Key.space,,,15.2533
patrick01,key,release,Key.space,,,15.3973
patrick01,key,press,p,,,15.5243
patrick01,key,release,p,,,15.6222
patrick01,key,press,a,,,15.6398
patrick01,key,release,a,,,15.7921
patrick01,key,press,t,,,15.8062
patrick01,key,release,t,,,15.9247
patrick01,key,press,r,,,15.9725
patrick01,key,release,r,,,16.1038
patrick01,key,press,i,,,16.1341
patrick01,key,release,i,,,16.2344
patrick01,key,press,c,,,16.3793
patrick01,key,release,c,,,16.504
patrick01,key,press,k,,,16.6036
patrick01,key,release,k,,,16.718
patrick01,key,press,.,,,17.0385
patrick01,key,release,.,,,17.1199
patrick01,key,press,Key.enter,,,17.4425
patrick01,key,release,Key.enter,,,17.5464
patrick01,key,press,Key.esc,,,18.2001
patrick01,key,release,Key.esc,,,18.2922
patrick01,mouse,move,,1624,104,0.6504
patrick01,mouse,move,,1624,104,0.6627
patrick01,mouse,move,,1624,103,0.6789
patrick01,mouse,move,,1624,102,0.6985
patrick01,mouse,move,,1624,101,0.7112
patrick01,mouse,move,,1624,101,0.7282
patrick01,mouse,move,,1624,101,0.7611
patrick01,mouse,move,,1626,102,0.7632
patrick01,mouse,move,,1629,104,0.775
patrick01,mouse,move,,1633,105,0.7826
patrick01,mouse,move,,1643,111,0.7826
patrick01,mouse,move,,1657,117,0.7926
patrick01,mouse,move,,1673,121,0.7926
patrick01,mouse,move,,1698,128,0.8065
patrick01,mouse,move,,1726,132,0.8065
patrick01,mouse,move,,1765,136,0.8227
patrick01,mouse,move,,1813,136,0.8305
patrick01,mouse,move,,1870,135,0.8305
patrick01,mouse,move,,1927,130,0.8416
patrick01,mouse,move,,1980,122,0.8416
patrick01,mouse,move,,1985,112,0.8543
patrick01,mouse,move,,1984,101,0.8543
patrick01,mouse,move,,1982,88,0.8701
patrick01,mouse,move,,1976,81,0.8721
patrick01,mouse,move,,1974,71,0.8858
patrick01,mouse,move,,1970,61,0.888
patrick01,mouse,move,,1966,54,0.888
patrick01,mouse,move,,1967,45,0.9021
patrick01,mouse,move,,1958,38,0.9021
patrick01,mouse,move,,1955,32,0.918
patrick01,mouse,move,,1953,23,0.9239
patrick01,mouse,move,,1954,19,0.9239
patrick01,mouse,move,,1952,13,0.9341
patrick01,mouse,move,,1951,7,0.9341
patrick01,mouse,move,,1945,1,0.9528
patrick01,mouse,move,,1942,-8,0.9528
patrick01,mouse,move,,1939,-6,0.9663
patrick01,mouse,move,,1930,-5,0.9735
patrick01,mouse,move,,1926,-3,0.9735
patrick01,mouse,move,,1921,-3,0.9824
patrick01,mouse,move,,1920,-3,0.9824
patrick01,mouse,move,,1919,-2,1.0013
patrick01,mouse,move,,1918,-2,1.0074
patrick01,mouse,move,,1910,5,1.1759
patrick01,mouse,move,,1900,12,1.1917
patrick01,mouse,move,,1890,19,1.1917
patrick01,mouse,move,,1880,28,1.2077
patrick01,mouse,move,,1866,41,1.2077
patrick01,mouse,move,,1847,60,1.2077
patrick01,mouse,move,,1822,85,1.2258
patrick01,mouse,move,,1794,111,1.2258
patrick01,mouse,move,,1762,141,1.2398
patrick01,mouse,move,,1730,170,1.2398
patrick01,mouse,move,,1702,194,1.2556
patrick01,mouse,move,,1669,216,1.2607
patrick01,mouse,move,,1636,236,1.2713
patrick01,mouse,move,,1610,249,1.2713
