user_id,type,event,key,x,y,time
patrick01,key,release,Key.enter,,,0.1451
patrick01,key,press,h,,,6.8771
patrick01,key,press,b,,,7.1634
patrick01,key,release,h,,,7.2748
patrick01,key,press,j,,,7.3702
patrick01,key,release,b,,,7.5012
patrick01,key,press,h,,,7.5612
patrick01,key,press,v,,,7.7205
patrick01,key,release,j,,,7.7523
patrick01,key,release,h,,,7.8138
patrick01,key,release,v,,,7.8615
patrick01,key,press,j,,,8.053
patrick01,key,release,j,,,8.1505
patrick01,key,press,j,,,8.2282
patrick01,key,release,j,,,8.3419
patrick01,key,press,j,,,8.4043
patrick01,key,press,k,,,8.4203
patrick01,key,release,j,,,8.5045
patrick01,key,release,k,,,8.5045
patrick01,key,press,k,,,8.6048
patrick01,key,release,k,,,8.7223
patrick01,key,press,k,,,8.7881
patrick01,key,release,k,,,8.926
patrick01,key,press,k,,,9.1168
patrick01,key,press,j,,,9.1327
patrick01,key,press,n,,,9.3552
patrick01,key,release,j,,,9.3872
patrick01,key,release,k,,,9.4189
patrick01,key,press,k,,,9.4666
patrick01,key,release,n,,,9.6252
patrick01,key,press,j,,,9.7364
patrick01,key,press,b,,,9.8159
patrick01,key,release,k,,,9.8953
patrick01,key,release,j,,,9.9272
patrick01,key,release,b,,,9.9751
patrick01,key,press,b,,,10.3407
patrick01,key,press,k,,,10.3407
patrick01,key,release,k,,,10.4111
patrick01,key,release,b,,,10.4207
patrick01,key,press,Key.esc,,,12.1059
patrick01,key,release,Key.esc,,,12.1981
patrick01,mouse,move,,135,568,1.595
patrick01,mouse,move,,136,553,1.6064
patrick01,mouse,move,,137,539,1.6131
patrick01,mouse,move,,140,524,1.62
patrick01,mouse,move,,143,511,1.6271
patrick01,mouse,move,,145,496,1.634
patrick01,mouse,move,,148,483,1.6413
patrick01,mouse,move,,151,471,1.6483
patrick01,mouse,move,,155,461,1.6549
patrick01,mouse,move,,156,454,1.6612
patrick01,mouse,move,,159,444,1.6682
patrick01,mouse,move,,161,438,1.6756
patrick01,mouse,move,,164,432,1.6818
patrick01,mouse,move,,165,424,1.6887
patrick01,mouse,move,,168,416,1.6957
patrick01,mouse,move,,170,408,1.7028
patrick01,mouse,move,,173,402,1.71
patrick01,mouse,move,,174,394,1.7171
patrick01,mouse,move,,176,390,1.7236
patrick01,mouse,move,,179,383,1.7303
patrick01,mouse,move,,180,379,1.7367
patrick01,mouse,move,,182,373,1.7437
