user_id,type,event,key,x,y,time
patrick01,key,release,Key.enter,,,0.1321
patrick01,key,press,h,,,0.5046
patrick01,key,release,h,,,0.5976
patrick01,key,press,e,,,0.7032
patrick01,key,release,e,,,0.7756
patrick01,key,press,l,,,0.9562
patrick01,key,release,l,,,1.0577
patrick01,key,press,l,,,1.099
patrick01,key,release,l,,,1.1934
patrick01,key,press,o,,,1.2644
patrick01,key,release,o,,,1.3535
patrick01,key,press,Key.space,,,1.4337
patrick01,key,release,Key.space,,,1.5469
patrick01,key,press,i,,,1.5846
patrick01,key,release,i,,,1.6759
patrick01,key,press,Key.space,,,1.7447
patrick01,key,release,Key.space,,,1.8749
patrick01,key,press,a,,,1.9039
patrick01,key,press,m,,,2.0527
patrick01,key,release,a,,,2.0556
patrick01,key,release,m,,,2.1469
patrick01,key,press,Key.space,,,2.1937
patrick01,key,release,Key.space,,,2.3397
patrick01,key,press,p,,,2.4613
patrick01,key,release,p,,,2.5502
patrick01,key,press,a,,,2.5686
patrick01,key,release,a,,,2.6968
patrick01,key,press,t,,,2.7322
patrick01,key,release,t,,,2.824
patrick01,key,press,r,,,2.8899
patrick01,key,release,r,,,3.0002
patrick01,key,press,i,,,3.0327
patrick01,key,release,i,,,3.1312
patrick01,key,press,c,,,3.2418
patrick01,key,release,c,,,3.3901
patrick01,key,press,k,,,3.4352
patrick01,key,release,k,,,3.5334
patrick01,key,press,.,,,3.66
patrick01,key,release,.,,,3.7625
patrick01,key,press,Key.enter,,,4.0023
patrick01,key,release,Key.enter,,,4.1145
patrick01,key,press,Key.esc,,,4.3067
patrick01,key,release,Key.esc,,,4.454
